residential_kw,dc_campus_1_kw,dc_campus_2_kw,dc_campus_3_kw
582.0857802000003,5000.0,8000.0,12000.0
594.5056974000003,5000.0,8000.0,12000.0
599.4736560000002,5000.0,8000.0,12000.0
590.3657388000003,5000.0,8000.0,12000.0
596.5756974000003,5000.0,8000.0,12000.0
590.3657388000003,5000.0,8000.0,12000.0
590.3657388000003,5000.0,8000.0,12000.0
599.4736560000002,5000.0,8000.0,12000.0
596.5756974000003,5000.0,8000.0,12000.0
594.5056974000003,5000.0,8000.0,12000.0
603.1996146000002,5000.0,8000.0,12000.0
603.1996146000002,5000.0,8000.0,12000.0
604.8555732000002,5000.0,8000.0,12000.0
608.9955318000002,5000.0,8000.0,12000.0
608.1675318000002,5000.0,8000.0,12000.0
608.9955318000002,5000.0,8000.0,12000.0
608.9955318000002,5000.0,8000.0,12000.0
611.8934904000002,5000.0,8000.0,12000.0
605.6835318000002,5000.0,8000.0,12000.0
617.6894490000003,5000.0,8000.0,12000.0
622.6574076000002,5000.0,8000.0,12000.0
620.5874490000002,5000.0,8000.0,12000.0
612.7215318000002,5000.0,8000.0,12000.0
617.6894904000003,5000.0,8000.0,12000.0
617.6894904000003,5000.0,8000.0,12000.0
622.6574490000003,5000.0,8000.0,12000.0
611.4795318000002,5000.0,8000.0,12000.0
622.6574490000003,5000.0,8000.0,12000.0
622.6574490000003,5000.0,8000.0,12000.0
617.6894904000003,5000.0,8000.0,12000.0
617.6894904000003,5000.0,8000.0,12000.0
622.6574490000003,5000.0,8000.0,12000.0
622.6574490000003,5000.0,8000.0,12000.0
622.6574490000003,5000.0,8000.0,12000.0
620.5874490000002,5000.0,8000.0,12000.0
617.6894490000003,5000.0,8000.0,12000.0
622.6574076000002,5000.0,8000.0,12000.0
622.6574076000002,5000.0,8000.0,12000.0
617.6894490000003,5000.0,8000.0,12000.0
617.6894490000003,5000.0,8000.0,12000.0
613.9634904000003,5000.0,8000.0,12000.0
609.8234904000002,5000.0,8000.0,12000.0
606.9255318000003,5000.0,8000.0,12000.0
610.6514904000003,5000.0,8000.0,12000.0
616.8614490000002,5000.0,8000.0,12000.0
610.6521114000002,5000.0,8000.0,12000.0
611.8941114000002,5000.0,8000.0,12000.0
616.8620700000001,5000.0,8000.0,12000.0
606.9261528000002,5000.0,8000.0,12000.0
616.8620700000001,5000.0,8000.0,12000.0
614.7921114000002,5000.0,8000.0,12000.0
619.7600700000002,5000.0,8000.0,12000.0
613.5501114000002,5000.0,8000.0,12000.0
622.2440286000002,5000.0,8000.0,12000.0
631.3519458000001,5000.0,8000.0,12000.0
608.1681114000002,5000.0,8000.0,12000.0
614.3780700000002,5000.0,8000.0,12000.0
614.3780700000002,5000.0,8000.0,12000.0
631.3519458000001,5000.0,8000.0,12000.0
634.2499044000002,5000.0,8000.0,12000.0
618.9320286000002,5000.0,8000.0,12000.0
631.3519458000001,5000.0,8000.0,12000.0
608.9961114000001,5000.0,8000.0,12000.0
651.6379044000001,5000.0,8000.0,12000.0
652.0519044000001,5000.0,8000.0,12000.0
649.1539458000001,5000.0,8000.0,12000.0
640.4600286000002,5000.0,8000.0,12000.0
634.2500700000002,5000.0,8000.0,12000.0
640.4600286000002,5000.0,8000.0,12000.0
635.4920700000001,5000.0,8000.0,12000.0
634.25007,5000.0,8000.0,12000.0
640.4600286000002,5000.0,8000.0,12000.0
643.3579872000003,5000.0,8000.0,12000.0
637.1480286000001,5000.0,8000.0,12000.0
643.3579872000003,5000.0,8000.0,12000.0
643.3579872000003,5000.0,8000.0,12000.0
649.1539044000001,5000.0,8000.0,12000.0
644.1859458000001,5000.0,8000.0,12000.0
643.3579458000002,5000.0,8000.0,12000.0
634.6640286000002,5000.0,8000.0,12000.0
625.1421114000002,5000.0,8000.0,12000.0
