minute,load_kw
340,556.91281656
341,555.91922484
342,556.91281656
343,556.9128165599999
344,554.92563312
345,554.92563312
346,554.67723312
347,553.6836413999999
348,551.1996579600001
349,550.95125796
350,551.9448496800001
351,552.19324968
352,553.1868413999999
353,554.67723312
354,554.4288331199999
355,554.4288331199999
356,555.42242484
357,553.4352414
358,553.4352414
359,555.91922484
360,553.6840554
361,553.6844694000001
362,554.6784585600001
363,555.9208477200002
364,556.1696451600003
365,557.6600203200003
366,556.5836203200004
367,555.5072368800004
368,554.3480451600003
369,552.1952617200003
370,553.2716534400004
371,554.8448286000003
372,556.1696037600002
373,558.1567706400003
374,560.8063375200003
375,558.9847375200003
376,558.6535209600004
377,559.2330961200003
378,559.6470795600003
379,560.3922547200003
380,562.3794050400003
381,563.9525719200003
382,565.8569388000003
383,566.1053222400003
384,566.3537056800003
385,566.6848974000002
386,567.0160891200003
387,567.2644891200002
388,567.5128891200003
389,566.8504891200002
390,568.4236725600002
391,568.3408725600002
392,567.2644642800002
393,566.9332394400002
394,568.7547897600002
395,566.6019814800002
396,562.2963814800003
397,562.5447649200001
398,563.0415566400003
399,561.9651814800002
400,562.5447814800002
401,566.9331566400002
402,567.8439483600002
403,565.5255649200002
404,564.4491732000002
405,565.6083732000002
406,565.5255814800003
407,565.4427897600001
408,567.4299897600001
409,568.7547814800002
410,568.8375814800002
411,568.7547814800002
412,568.6719814800002
413,568.5891814800001
414,567.5955897600002
415,564.8632228800003
416,564.1180394400002
417,562.2964560000003
418,563.0416394400003
419,563.2900228800002
420,565.6083732000002
421,565.1115483600004
422,565.0287400800004
423,563.7867483600004
424,563.7039566400003
425,562.3791732000003
426,563.4555649200004
427,565.5255400800003
428,565.1115318000003
429,563.4555318000002
430,564.9459152400002
431,566.5190986800003
432,564.9459152400002
433,567.0987069600002
434,569.2514986800003
435,567.0159152400003
436,563.5383483600002
437,563.5383649200003
438,562.7931980400002
439,562.2964311600002
440,565.2772394400002
441,568.8376228800001
442,571.7355897600003
443,570.4107732000002
444,572.5635318000002
445,572.5635069600002
446,572.7290986800002
447,571.6526986800003
448,574.5506655600002
449,574.9646490000002
450,575.1302407200003
451,575.8754241600002
452,577.5314076000002
453,577.3658158800002
454,577.2002241600003
455,577.9454241600002
456,577.1174407200003
457,575.6270572800003
458,575.2130655600001
459,574.7990738400001
460,574.5506821200003
461,573.4742821200002
462,574.6334655600002
463,573.6398655600003
464,571.4870821200003
465,571.8182655600002
466,571.6526738400003
467,571.4870821200003
468,572.7290738400003
469,575.1302490000002
470,573.0602738400003
471,574.5506572800002
472,574.9646407200001
473,574.3022407200002
474,573.0602490000002
475,574.0538324400002
476,573.0602407200003
477,572.3150738400002
478,572.3150986800002
479,571.9839235200003
480,572.3979483600002
481,570.2451980400002
482,568.7548146000001
483,568.8376146000003
484,568.8376146000003
485,566.8504311600002
486,569.0032146000002
487,570.0796146000002
488,568.8376311600002
489,569.7484228800001
490,571.7355980400001
491,570.3279814800002
492,567.9267732000002
493,566.6847483600002
494,567.7611069600001
495,568.5890821200003
496,570.9902572800003
497,574.6334241600002
498,575.1302324400001
499,575.2130407200002
500,575.4618547200001
501,575.7106687200003
502,574.2206992800004
503,577.7814801600005
504,579.0238776000003
505,579.1066610400005
506,580.2658444800005
507,584.0746030800004
508,586.8897699600004
509,587.1381616800005
510,588.8769451200004
511,590.3673202800004
512,590.6985037200004
513,590.1188871600004
514,590.2844706000004
515,592.2716292000005
516,594.3415960800004
517,596.4115629600004
518,598.2331546800003
519,601.7107298400003
520,602.7871381200005
521,600.7999878000004
522,599.6408292000003
523,597.6536623200004
524,595.0041120000004
525,591.1953865200005
526,590.7814113600004
527,589.7878527600005
528,588.7942941600005
529,587.5523355600005
530,588.2147521200004
531,587.5523769600004
532,586.2276018000005
533,585.6480349200004
534,584.9856763200004
535,583.8265177200004
536,583.7437591200005
537,584.0749922400005
538,584.4062088000006
539,584.0750253600006
540,584.7370196400004
541,585.5646056400004
542,584.4050082000003
543,585.4809942000003
544,587.6333636400002
545,588.2129553600003
546,588.3785470800003
547,590.5313222400002
548,591.6905056800003
549,590.4485056800004
550,592.9324808400004
551,594.6712642800004
552,596.4100477200003
553,597.1552394400003
554,602.4543980400002
555,605.1867732000003
556,609.6579318000003
557,614.1290904000002
558,618.5174490000003
559,621.9950158800002
560,624.8929910400002
561,624.0649993200002
562,624.0649993200002
563,624.1477993200001
564,622.9886076000001
565,620.8358241600002
566,618.9314407200002
567,615.0398738400003
568,609.9063152400003
569,606.4287483600003
570,603.5307732000002
571,603.3651732000002
572,604.3587649200001
573,606.5115483600002
574,606.0147483600002
575,608.1675318000003
576,609.9063152400003
577,609.6579152400003
578,610.4859069600003
579,612.3074904000002
580,612.8870821200002
581,613.0526821200003
582,616.1990572800003
583,618.9314324400002
584,619.6766241600003
585,621.4154076000002
586,621.9949993200001
587,619.1798158800002
588,618.6002158800002
589,620.0077993200001
590,619.4281993200002
591,619.2625993200002
592,618.1034076000002
593,616.2818241600002
594,614.7086407200002
595,613.1354572800003
596,612.1418655600003
597,614.5430490000002
598,616.3646324400003
599,617.3582241600003
600,617.7723400800003
601,617.1928642800002
602,617.6069802000002
603,616.4479126800002
604,615.8684368800001
605,615.4544368800001
606,617.0276203200001
607,621.1676120400001
608,625.3076037600001
609,628.2884120400001
610,631.8488203200002
611,632.5940534400003
612,631.4348782800001
613,630.2757031200001
614,630.2757114000002
615,629.1165279600001
616,630.1929279600001
617,628.6197445200002
618,627.0465610800002
619,626.4669693600001
620,625.8873776400002
621,624.6453859200002
622,625.6389776400002
623,626.0529776400001
624,626.7981776400002
625,624.1485776400002
626,622.9893693600001
627,619.5945776400001
628,615.7857859200001
629,611.6457942000001
